"prompt","completion"
"do you know what i say gas the mother fucking jews 

ANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEACHANHERO KILL YOURSELF DRINK BLEAC ->"," severe"
"i hate you u stupid little midget ->"," identity"
"Image copyright problem with Image:Rani mukherjee.jpg

Thank you for uploading Image:Rani mukherjee.jpg. However, it currently is missing information on its copyright status. Wikipedia takes copyright very seriously. It may be deleted soon, unless we can determine the license and the source of the image. If you know this information, then you can add a copyright tag to the image description page.

If you have any questions, please feel free to ask them at the media copyright questions page. Thanks again for your cooperation. ->"," none"
"Don't even THINK of fucking with my entries again unless you want a bat to the knees! ->"," toxic"
"Violent fucking imagery? Are you kidding me?
Holy fucking shit. Dude you are part of the problem I really hope you know that.
I know you think you're doing doing something good. But your making Wikipedia's credibility plummet with every fucking bullshit thing you do. I really hope you know that. 71.192.72.22 ->"," severe"
"Homosexuality?
You french-fried faggot, I am going to cut your balls off and serve them in a platter of mushrooms before shoving your dick up your ass and mutilating your boyfriend's balls in front of you, then I will kill you both! ->"," identity"
"suck a fuck 

Please suck a fuck. ->"," severe"
"no 

What the fuck did you just fucking say about me, you little bitch? I’ll have you know I graduated top of my class in the Navy Seals, and I’ve been involved in numerous secret raids on Al-Quaeda, and I have over 300 confirmed kills. I am trained in gorilla warfare and I’m the top sniper in the entire US armed forces. You are nothing to me but just another target. I will wipe you the fuck out with precision the likes of which has never been seen before on this Earth, mark my fucking words. You think you can get away with saying that shit to me over the Internet? Think again, fucker. As we speak I am contacting my secret network of spies across the USA and your IP is being traced right now so you better prepare for the storm, maggot. The storm that wipes out the pathetic little thing you call your life. You’re fucking dead, kid. I can be anywhere, anytime, and I can kill you in over seven hundred ways, and that’s just with my bare hands. Not only am I extensively trained in unarmed combat, but I have access to the entire arsenal of the United States Marine Corps and I will use it to its full extent to wipe your miserable ass off the face of the continent, you little shit. If only you could have known what unholy retribution your little “clever” comment was about to bring down upon you, maybe you would have held your fucking tongue. But you couldn’t, you didn’t, and now you’re paying the price, you goddamn idiot. I will shit fury all over you and you will drown in it. You’re fucking dead, kiddo. ->"," threat"
"You are a gay homo. I hope you choke on your penis and die. I am sending a big bleck guy to jizz in your face. ->"," obscene"
"you stupid cunt. (Oh, and I fucked your mother last night. I hope you die. ->"," threat"
"no, you could not have possibly read the entire thing because it went off the second i put it on. it is not a 'clear attack' because:
1. it is a small biograhpy, not bullying
2. i have the permission of Tom Runciman, who enouraged the creation of the article
3. such was the integrity of the article, i was allowed to completeit in school time with school facilities.

i would thank you to lave me alone and read what you seek to block first! ->"," none"
"Jew supremacist liar. 146.179.213.55 ->"," identity"
"Cocks 

YOU FAILED AGAIN TO BLOCK ME WIKIPEDIANS!!

HA HA!!

For some nice big juicy sweet cock,
my number is 248-678-9807

Goodbye lovers.68.248.73.184 ->"," toxic"
"""
dude, you think I give a fuck about you posting this bullshit warning? do something useful with your time rather than flexing your little authoritarian muscle here, don't you have anything better to do, in meatspace, perhaps; shove your block up my ass for all I care.  talk. "" ->"," toxic"
"""

 Stop and desist from your arbitrary edits! 
I have noticed you have willfully cut text from the value-form article because it is not to your taste. A sentence such as """"Thus, Marx aims to provide a brief morphology of the category of economic value as such, from the simplest forms to the money-form."""" is removed with the comment """"synthetsis and bluster"""". This is not acceptable, and if you do not desist from your objectionable editing work, action will be taken.  "" ->"," none"
"THIS IS ALL FAKE DUMB NUTS!!!! ->"," obscene"
"Mmmm... yes... a pint of palestinian blood would be a fine dessert right now. -  talk/email ->"," threat"
"I can explain a bit more in detail later on but my time is limited. I did not realise the seriousness of doing this and if I only knew at the time I wouldn't have done this. I admit now to  being a D_HEAD ->"," none"
"AND TO THE PARTY WHO FUCKS ME, FUCK U! I'LL BE BACK HERE IN FIVE MINUTES AND HOPEFULLY YANDMAN'S HEAD WHEEL BE CLEANING MY ASS AND HIS BODY WILL BE FAR AWAY FROM HIS HEAD ->"," threat"
"your mom is my slave and your father is my bitch 

you all shall bow down to me and your mothers will suck my balls. your father is my slave and i will drive him into the ground with my forhead. as you look upon this page and gasp i enter your soul and devour your flesh. ->"," threat"
"""Futper, I'm rewriten the entry to deal with your concerns of """"flow"""". Given the severity of the anti-Macedonia (Greek Macedonians) propaganda issue and how it relates to Greece's original complaint of monopolization of the term """"Macedonia"""" by FYROM citizens... I believe that a section is warranted (as was originally present). I will wait till tomorrow to give you an opportunity to provide input before reinserting the section into the article. After that you'll still be free to adjust if you feel I've said something factually inaccurate or something that could be more elegantly worded.  

"" ->"," none"
"SOCALSUPEREAGLE IS FULL OF BLACK HATE! ->"," toxic"
"Hey you fucking jew 
why the fuck did you get rid of emo kid beatdown day you aussie fag. gay jew basturd go celebrate hannucka ->"," severe"
"Hebrew Name of Lydia 
Appologies to Til Eulenspiegel I thought you were one of the idiots which your user page indicates you actually do well struggling against. 
Genesis 10:יג  וּמִצְרַיִם יָלַד אֶת-לוּדִים וְאֶת-עֲנָמִים, וְאֶת-לְהָבִיםוְאֶת-נַפְתֻּחִים.TAB13 And Mizraim begot Ludim, and Anamim, and Lehabim, and Naphtuhim,
You see Ludim are from Mitzraim not to be confused with Lud son of Shem (in the far east).
Best wishes and keep up the good work.81.103.121.144 ->"," insult"
"And why will you have to do that?  I am disrupting the project by asking you to fuck off my talk page?  Nope.   Bits andPieces ->"," obscene"
"GO AHEAD AND BLOCK ME! 

 I HAVE 42 FUCKIN ACCOUNTS ON WIKIPEDIA. You cannot get rid of me for no fuckin reason. So go ahead and block me. And i will just log in to another account at which you suck. By the way, how can you vandalize YOUR OWN DESCUSSION PAGE!? This is mine, why the hell are you worried about mine you piece of shit! ->"," insult"
"Hi there, that was not a test edit. I was meaning to communicate with User Flyer22. Thanks. ->"," none"
"Whats the matter bitch? You don't like to suck cock?? ->"," severe"
"You're a twat and a Jew, have a nice day! ->"," obscene"
"why'd you remove that 

u nlgga ->"," insult"
"GO FUCK YOUR SELF , WIKIADMINS ->"," severe"
"Stop being such a pussy. Getting wikipedia to block me? really? butthurt? I am not trying to get you to get off wikipedia. Im saying that you shouldn't be such a fag. Wikipedia doesn't need fags like you. ->"," identity"
"WTF EVER - from waldo, you guys are SO junior and lacking! ->"," toxic"
"Blocking editors 

He still insists on blocking users  for now reason. When are some other editors going to take this little twerp down a peg or two and give the little idiot a taste of his own medicine  DMACKS SHOULD NOT BE ABLE TO BLOCK ACCOUNTS78.151.41.154 ->"," insult"
"wer do u live 

wer do u live marybelle i wanna fuk u ->"," obscene"
"If Christianity is so good, how come they have to convert the dalits? Why can't they convert people with brains? Oh right! Christians don't have brains! ->"," insult"
"I have a big Penis, and everyone should note, that I'm someone that no one has any proof of, other than random IP addresses, and an annoying sense of having no life at all. Make a note of it. 46.165.221.230 ->"," obscene"
"You Suck! 

Leave the GNAA article alone. 70.48.94.182 ->"," insult"
"""

i agree, as with my other comments, Silverman in person, is different from the """"sarah"""" we see portrayed, i have had the luck to actually engage in a conversation with the woman, and she is nothing but down to earth and very humble. There is a very very very clear line between her on stage charisma and her real life mentality.we have to take into account this woman is coming off this way because she see's the amazing amount of comedy in a completly """"no-qualms"""" woman. She has balls! and we as a public need to be able to discern her comedic partialities, and abstain from trying to paste them to her, because hse is able to tell us in such a serious manor.

a women looking you dead in the face very serious saying, """"oh, i hate black people, and my boyfriend's penis is so small, i don't even care about getting him mad at me, and by the way i pooped my pants.""""

thats hard to lauh at at first, because of her delivery, but that is part of her character and her appeal/genius....i refrence it to mitch hedberg's some what, heroined-drawl, or steven wrights """"im about to shot myself in the face with a 44. magnum, depressive moan""""lewis black's crazy fingers, adam sandlers baby sound's....the list goes on."" ->"," obscene"
"THIS IS MY PAGE FUCKERS SO I CAN SAY WHAT I WANT. FUCK YOU DRINI AND NACONKANTARI... I HOPE YOU ENJOY YOUR SCHEDULED RAPING. 

p.s. done a head count lately? ->"," severe"
"Stop blocking my usernames 

I am the username vandal. If you don't stop blocking my usernames I will find out where you live and hit you with railway sleepers. 213.205.234.222 ->"," threat"
"I also added a link to the site RobertZubrin.com but some tosser keeps deleting it. If I catch the dickhead I'll cut his fucking face off. Must be some loser who is jealous of Robert Zubrins success. ->"," insult"
"""
fuck you bastard. consider this your last warning. """"being a dick?"""" who do you think to talk like this on my talk page you piece of shit? next time you do that i'll unscrew your head and shit into your neck. and your gay friend falcon9x5/fin is an asshole too.   "" ->"," threat"
"That's it. 

Final straw. We're doing this. You and me. I will be flying to the city of your residence and burning down your domicile. Do you have nice things? Because I'm going to fuck them. I'm going to fuck you. 98.194.201.42 ->"," severe"
"Cheap caste fanatic Jonathan. NBK Wiki page vandalise chesinappudu leedu gani , Chimpu gadidi edit cheste noppi telisinda. Mind your own business and stop vandalising NBK's Wiki page. ->"," toxic"
"STOP HARASSING ME, MOTHERFUCKER! ->"," toxic"
"Pedofile 

You are one. I hope you and your family get cancer. Please god give this terrible pedofile Ronz cancer. I hope you, your family, and anyone you ever love gets cancer and dies. Fuck you fagget. Do you have a job, why are u always so fast to edit shit. I bet you live in a fucking basement apartment in some fucking ghetto. Fuck you fagget - go and die. I pray you get cancer. ->"," severe"
"I just realized that Wiki is for fucking internet nerds.  Write whatever you want, its not like professors or research organizations take your babble as worth more than a pile of shit.  Dook53 is a nerd who lives in New Jersey and never went to dook.  What a pathetic loser.  Let us know if you ever get laid, dook53,  In closing, fuck you all. ->"," obscene"
"I also agree. Anyone oppose a redirect to the page without the hyphen? ->"," none"
"its an AP article you asshole, how is it not neutral??? ->"," toxic"
"Fuck you! You sadistic admin that orgasms when deleting articles. ->"," toxic"
"RE: 

Punk ass snitch, get the cock. ->"," insult"
"Someone should have told you by now, if you stop sucking so many dicks, you'll be more relaxed.  Too much dick-sucking (so I'm told) can lead to temporary psychosis. ->"," toxic"
"""

 Account Blocked 
Wow, now there's a surprise.  The wikipedian zealots are watching over each other and protecting their gratuitous self-grandizing """"profiles"""" from deletion.  Oh, sorry, Connolly's lack of notability is *my* fault, so *I'm* blocked.  The five previous deletion requests were denied because Mr. Connolly is as notable as Mr. Einstein in your opinion.

What a fucking joke."" ->"," toxic"
"Whoever put a notices on my page. I will kill u ->"," threat"
"Dictionaries

How dare you call my contribution spam!!! I am a Kurd and I made a lsit of kurdish dictionaries. you bloody turkish nationalist and atoricity commiting bone breaking Nazi. watch out folk this slimy Turk is trying to censor the internet this is not undemocratic Turkey here, no prison cells in wikipedia you stupid Turk! And you buggers want membership to the EEC ->"," identity"
"BTW, I love to harrass, so try banning me for a year to stop me. I WISH ZHANZHAO DIE DIE DIE! I WILL RAPE YOU, YOUR MOTHER AND YOUR GAY FRIEND's ASS!!! 

Nuff' said ->"," identity"
"Why hasn't Alitalia been removed rom the alliance due to its piss-poor customer service? - Sentiments of nummerous FlyerTalkers ->"," toxic"
"Earl Jam 

My band is perfectly notable. Please don't delete it. ->"," none"
"Put my edit back or the Federal Police will arrest you! 

This is last time you do that. Get ready for PRISON! I wish an Australian doesn't rape you there, you racist piece-of-crap! 58.179.207.194 ->"," obscene"
"Take your sandbox 

And stick it up your asshole. ->"," severe"
"- Stealthusa is an artise of the ass. ->"," obscene"
"I am PISSED OFF 
Okay, I used to be a troll and a vandal.  I used to be large amounts of my time insulting and upsetting users and ruining articles for my own amusement. Recently, I decided to turn a new leaf and become a decent, respectful contributor. I created an article called Adult Diapers in France. In this article, I included references and I hoped to create a series based on adult diaper production by country.

Within minutes , User:Escape Orbit slapped a speedy deletion notice onto my article, without even suggesting how to improve my article and claimed that I was 'advertising' and my page was 'unambiguously promotional'. This user did not even try to rewrite or improve this article.

Secondly, User:Purplewowies claimed that I should have taken the advice of this helpdesk first, then create my article. However this was not possible as I had already created my article BEFORE the helpdesk replied. Maybe the helpdesk should be more quicker.

In conclusion, I am getting fed up of wikipedia. I am getting fed up of how admins just pounce on you if you are a newbie. I am seriously thinking of trolling and vandalising again. Good day ->"," toxic"
"Hi 

Fuck you, Faggot. ->"," severe"
"GET THE HELL OUT OF MY BISSINESS ASS BANG 166.170.35.202 ->"," severe"
"Homosexual like you are faggot ->"," insult"
"I will cite examples if you're going to push the issue.  And if you delete again without dicussion, I will demand an Admin step in and look at both sites. ->"," none"
"Why the fuck do you hate me, butters is a main character.

user: 72.345.456  he has a point. ->"," toxic"
"(could you fucking leave me alone bitch) ->"," severe"
"""

Fuck off you spastic. I can access this via a proxy, using one of 4 home computers or one of 55000+ at work (in 30+ countries), plus libraries, mates' computers, internet cafes both at home and abroad, on my mobile, at PC World or other such shops...basically anywhere I like. Are you going to ban everyone from editing? How many fucking mistakes are on this site anyway? Billions.

Look at me I've no friends and I wank myself stupid every time someone famous dies as I must be first to update Wikipedia.

You pathetic """"Hitler in a wheelchair"""" bastard. Wank my shitter, knobhead"" ->"," severe"
"Go and hang yourself! ->"," threat"
"=You worthless piece of shit
As a concerned citizen I am upset and violated that you would do this.  You are wortheless - how can you take pleasure in hurting Miami this way?  If I ever see you in your life I will make it a point to kill you on site.  You worthless ridiculous bastard I hate your fucking guts I hope you burn in hell and die most painfully.

Yours truly,

PP loco ->"," threat"
"God, you have been of no help. You gave me a warning for accusing a clique of users of sockpuppetry yet when they made the same accusations towards me you were a mute! I am very annoyed that this clique can go page to page changing anything they wish, make accusations of sockpuppetry, edit-warring and vandalism while you stand back and watch. ->"," toxic"
"Tough dude! You've got better power trips to get on, so go do them. I don't know what it says? All I know is that it was the cited reason why the last person who blanked the section was blocked. 'Don't patronize me!' Are you talking to me like this because the last time you did it in a bar you got beat up and the video ended up on Top 20 Most Shocking? After all, you're so much more knowledgeable than everybody else, and have so much better things to do than everybody else on the internet, isn't it kind of rubbing it in to be a royal jerk on top of it?   75.73.39.66 ->"," insult"
"You've made seven edits, it doesn't appear as though you're even a member of a project and no notices have been placed on your talk page.  Thanks for your advice, while well-intentioned, it's misplaced. Anyone can close an RfC if consensus is clear, so next time, be WP:BOLD and do it, however, I wonder how you decided to come to this particular RfC and voice that opinion. Feel free to explain on your talk page and leave me a  notice, or just ignore me. Thanks. ->"," none"
"I Have a Hacker with me. 

If you continue to block my whims. I will shut down Wikipedia for good! I'm talking to you Theresa DOGPENISKnot. You people have no lives except to prevent freedom of speech, an inalienable right. And fatsos like Georgie and Retetast and that 2 cent whore Kariteh need to fuck off! Again, If I am denied a place to express myself, then nobody can go here. I MEAN IT!!!!! ->"," threat"
"you're a fucking shit ->"," obscene"
"Gay! 
Your page looks like a MySpace profile.
Like srsly, super serial, like. Knock it off.
Soooo gay. ->"," identity"
"""

 FUCK YOU 
FUCK YOU!!!  YOU'RE A STUPID NIGGER LOVER.  GO FUCK A DEAD MOOSE.-The'FortyFive' "" ->"," severe"
"To whoever said most people in arab are homosexuals or other bad things:

Go to D**n F***in' Hell you motherf***in' d**n son of a d**n f***ing c**t of a b**ch. ->"," identity"
"Robotic Articleness 

You're a fucking piece of shit. ->"," severe"
"Why do you support such vandals as peruvianllama and naconkantari? You use to be cool man. Now you're just GAY. ->"," identity"
"alansohn, put back my comments. they were true ->"," none"
"|decline=Fucking bellend — ->"," obscene"
"""

 WP:AWB 

You already seem to be approved for this; I would have done so anyhow. andemu "" ->"," none"
"""

 I Hate Grandma Terri  

I hate my step grandma Grandma Terri. """"Step Grandma"""" is an overstatement. F-ck Grandma Terri in her old ass. Grandma Terri shoult be raped to death. 71.74.76.40  "" ->"," threat"
"I took my article down five years ago becuase people kept removing links and fucking with it. Then someone else put on up and I said OK. then I saw all the links had been removed and I fixed them. Now I have you neurotic shits fucking with it. Leve it alone or take it the fuck down. 

This isn't about cruise ships, it's about women. I am constanlty under attack and I dont' need you abetting that. Fuck off. ->"," obscene"
"""

 I thought so 

RJensen and his sockpuppets never showed up to the """"talk page"""" once your asshole friend fluffernutter blocked me and I haven't been able to make even a notification to you till today.

Seems your claims that wikipedians follow the rules are full of shit."" ->"," insult"
"One should add that a user who has been given a fresh start is expected to reform, not carry on the way they were acting before. ->"," none"
"gay ==

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick
 John Cline is gay 

He sucks dick ->"," identity"
"elevation of south fork humboldt river mouth 

not sure where you got 5070 feet, but its way off. google maps shows 4998, so i put that in the article instead. ->"," none"
"Evidently it is one rule for unfavorable accounts and another for bitches like Katieh5758 who can flout every rule and get away without a hint of a warning and all thanks to unfit admins. Well if that's the way it is, Fuck you Smalljim. Catch cancer and die as soon as possible. ->"," obscene"
"Mega Drive/Genesis comparison pictures 

I just tried having the picture in the orientation with the side by sides.  It doesn't really work, because the japanese mega drive pictures are way distorted, due to using a wide-angle lens at a close distance.  putting them next to each other makes it easy to see that, like here:
http://i.imgur.com/jm6LI.jpg ->"," none"
"wikipedia nazis can suck it bitches ->"," identity"
"well do it then bitch ass faggot ->"," obscene"
"Answering my own question: Putting the Shuttle in any other orientation on the pad would require the crawler to rotate, which would either stress the ground track severly if done in place, or take a lot of time if the crawler was sent on a big loop to accomplish the turn. Also, the rolling in flight isn't a problem. ->"," none"
"Your knowledge of US history appears to derive from neo-Confederate propaganda. Suggest you read a bit more widely, focusing on recent works by professional historians instead. ->"," none"
"a sincere question
Why do you do what you do?

slander, harassment and abuse of editors

And you are a mindless dumbass, Geogre. Also a liar. Actually the blatant slanderous crap you all throw out all over the internet about me and so many others is kind of against the law. It also goes against current harassment laws. ->"," obscene"
"omar wears a strap on 

pussy licker!!!!!! ->"," insult"
"CSS Naked Day 

YOU ARE A FUCKING DUCHEBAG!! IM NOT TRYING TO COPYRIGHT INFRINGE ON ANYONE, JUST SPREADING THE WORD. OMG! YOU ARE SO FUCKING STUPID AND SHOULD BE SHOT ->"," severe"
"The king of stupid unconstructive edits is you.  Go fuck yourself. ->"," severe"
