"prompt","completion"
"Tracklisting =
I'm a bit confused about the tracklist. I'm from Ireland and found two The Fame Monster albums. One of these was the album with the blonde Lady GaGa cover, entitled The Fame Monster and the traclist read as this:
DISC 1:
1. Bad Romance
2. Alejandro
3. Monster
4. Speechless
5. Dance In The Dark
6. Telephone
7. So Happy I Could Die
8. Teeth
DISC 2
1. Just Dance
2. LoveGame
3. Paparazzi
4. Poker Face
5. I Like It Rough
6. Eh, Eh (Nothing Else I Can Say)
7. Starstruck
8. Beautiful, Dirty Rich
9. The Fame
10. Money Honey
11. Boys, Boys, Boys
12. Paper Gangsta
13. Brown Eyes
14. Summerboy
15. Disco Heaven (bonus track)
16. Again, Again (bonus track)

The other album I found was the cover of Lady GaGa with the dark hair entitled The Fame Monster Limited Deluxe Edition. The tracklisting was as follows:
DISC 1:
1. Bad Romance
2. Alejandro
3. Monster
4. Speechless
5. Dance In The Dark
6. Telephone
7. So Happy I Could Die
8. Teeth
DISC 2
1. Just Dance
2. LoveGame
3. Paparazzi
4. Poker Face
5. I Like It Rough
6. Eh, Eh (Nothing Else I Can Say)
7. Starstruck
8. Beautiful, Dirty Rich
9. The Fame
10. Money Honey
11. Boys, Boys, Boys
12. Paper Gangsta
13. Brown Eyes
14. Summerboy
15. Retro Dance Freak (bonus track)
16. Disco Heaven (bonus track)

I'm confused with all the different editions of The Fame Monster. ->"," none"
"""*he didnt say just """"genetics"""", he said DESCENT (can you read ?). Where do you think you come from, a fuckin test tube ? Ask anybody, alot of your ethnic or cultural identity is inherited or passed down from you ancestors/family. Actually read what hes saying you dumbass, your personality/behaviour, your genes, you physical appearance and for many people alot of other cultural customs like language you get from your family since they raise you. The common descent of a group of people is where alot of this comes from. Obviously when you live in a  a community with others of this heritage, that identity lasts longer. Thats why on average Irish (not Scots-Irish), Italians, Germans, Blacks/Africans, Asian, Native Indians, Spanish/Hispanics keep more of their identity longer here in the USA then other peeps like English and Scottish. You walk in my neighbourhood and say im only an """"ethnic American"""" or somethin stupid like that, you get knocked the fuck out. You people need to wake the fuck up.

"" ->"," identity"
"Guess what 

You can do *NOTHING* about being wikihounded, because you fucking deserve it and I am far more determined than you are!

Merry Christmas. I bet you edit then! ->"," toxic"
"Wow...funny how i can harass other users by calling them cocksuckers on my own talk page.

The concept of Wikipedia is moronic...the general public is stupid, and should not be given complete unfettered access to change globally accessible content.

Dumb fucks, I'm sure it completely gets your little shriveled rocks off to fling your term 'vandalism' around like it is worth anything. How about you sit on my huge cock you egotistical power hungry nerd shit eating fagots D ->"," obscene"
"Aaron Swartz 

Stop fucking reverting my goddamn edits!!! I think Aaron Swartz is a dumb-ass, and he should have been
killed a long time ago.  I know where you live; I WILL KILL YOU IF YOU REVERT ANY MORE PAGES!!!!! ->"," threat"
"""

We can all tailor hypotheticals to fit our arguments, but they are irrelevant, practical application is the real test. In regards to Islam, it is a vicious and wicked faith, and it is against all bounds of human logic, in Islam, a woman bearing her hair is haram, but her husband beating her up is halal, does this not defy human logic? """"Do unto others as you would have them do unto you"""" is the oldest part of morality, it is a code to live by, if it is removed then simply in moral terms you can do what you like to people. Islam is a vicious and wicked faith, and Mo was a vicious and wicked man. I will keep on fighting against Islam. 

"" ->"," identity"
" this article here along with the """"""Inner Mongolia"""""" article (especially the """"""history"""""" part) are largely Communist Chinese government. Those who ->"," none"
"If you block me for telling you what you are, there will bw a holy war, I promise you that. ->"," threat"
"""

 Just came here to say exactly the same thing, """"Methanol Fuel"""" is about the actual fuel whereas """"Methanol Economy"""" is about a hypothetical economic situation and a way of structuring infrastructure etc."" ->"," none"
"A message from Shadow1: I am a wicked homosexual who preys on myself (aka masturbates to noavail, IM IMPOTENT!!!) ->"," obscene"
"""
None of this matters, though, because we're citing the full article, which (through the sentence fragment quoted above) supports the statement.  Please note that, per WP:V#Access to sources: """"The principle of verifiability implies nothing about ease of access to sources [...]""""   "" ->"," none"
"""
 (B), because I feel it suits wikipedia more. Although I personally say """"black"""" and """"white"""", I think it would just look unprofessional in an article on Wikipedia.   "" ->"," none"
"Wow what a load of shit wiki is.... List of Filipino American Populations states and I quote

Outside of California, one of the nation’s largest settlements of Filipino Americans is New York City, where nearly 60,000 Filipino Americans live. Within New York, the heaviest concentration is in the borough of Queens, with 32,843 members of the group. This article says 90,000. Some one fix this and find a real reliable source. ->"," obscene"
"You raped my edit,  I think they should call you clueless bot.
202.92.40.8 ->"," insult"
"""

 You fucking no-life car fetishist 

Since it's obvious you don't get any pussy from the amount of time you spend on Wikipedia, why don't you go stick your little member into the exhaust pipe of your rattle can Legacy or """"Regushee"""" since you can't romanize Japanese you fucktard. Nobody gives a shit that the 1984 Shitbox GT had its window controls moved to the window and half of the crap you add to the articles are either unsourced or just plain wrong.

Go do the world a favor and off yourself. Since you love cars so much, carbon monoxide will work.  "" ->"," severe"
"You ignorant fool, i did not even say one swear word at Klptyzm. I think i shall complain about How bad of an admin you are to ->"," toxic"
"Give me a break
Give me a break, admin! I was just trying to talk to the dude! Why did you delete my message from his talk page? Why don't you leave it up to him to decide what's to be deleted from his messages or not? I just asked him why he deletes things so speedily using a very gay sounding software called huggle. What's the matter with you, wikipedia lovers? Are you robots or something? Is that all you do all day? Wikipedia seems to have taken control of your lives. I bet this post will be reverted using Huggle or Twinkle or something like that, or you'll issue me a stern warning not to make unconstructive edits to the pive pillars of wikipedia, or you'll just block me. Listen. Stop being a robot. Become a human for a change. Get out of that chair and think about it a little. ->"," insult"
"This article is a piece of shit 

Read it and weep.

Jw1 you're just a fucking little high school piece of shit. No one gives a crap about your opinions. There are NO citations at all in this piece of shit article so I'm going to delete this crap. ->"," insult"
"To confirm!! I never asked you for help. I have asked others for help but not you! You saw it fit to come on here, and harass me!!! You followed my log as if I were some sort of hacker, and annoyed the heck out of me at every turn. Even now it seems you feel you must have the last word. Buddy, let me tel you this. I hope you pull this crap with the right person. I really do. I do not like you. I think you are a scum bag. Have a merry freaking life! And please feel free to drop dead. ->"," obscene"
"You're an absolute c unt

f uck off ->"," severe"
"You peice of irish scum 

How dare you talk shit about my country? Fuck you, stupid shamrock bitch, I hope the next genocide we serve on you wipes your entire disgusting, repulsive race out. Fucking micks, you shouldn't even be alive after the first attempts, hopefully next time you wont be. Die. 92.24.85.159 ->"," threat"
"I want to meet you one day and stab you to death, and will never stop laughing as I watch you die bleeding heavily until you finally succumb. ->"," threat"
"""

As I said, it was an in joke.  I and my friends often say """"fuck off"""" and """"fuck you"""" to each other. The origins are irrelevant. 
I'm still amazed how upset people get with a word though. I still can't see how it disrupts anything nor how it is in opposition to any policy. If I had """"f*ck you"""", it would mean the same thing, but I doubt anyone would get upset.  ~AFA."" ->"," toxic"
"germany took over most of it and ->"," none"
"fuck u little bitch. im the porn king ->"," severe"
"Fuck offfff.!!!!!!!!!!!!! ->"," severe"
"It's not a matter of what I believe. My belief has nothing to do with it. There were no reliable independent sources references indicating that they met any of the 12 points set fourth. If they did, in fact, meet #'s 4 and 5, where are the sources demonstrating it? Just you stating that they do is not an independent relaiable source. And if the noms had been left open long enough, I think the consensus would have agreed. Wikipedia is not the Hamster-pedia. If you're conficent that they were notable, you should have made a good faith argument in favor of keeping the article, not shutting everything down without any scrutiny. ->"," none"
"""

 Countries of the United Kingdom 

There appears to be major progress on the lists of countries issue which is great. I was wondering if you have some time, could help try and resolve the Countries of the United Kingdom now. I know i disagreed when i first joined on the use of the term, but after seeing the evidence there is no better term to describe it. It was over 6 months since the poll was started on the merger of Subs / Countries of the UK and the changes proposed would be far better than the current version. I think if it was attempted, an agreement could be reached on this issue which would lead to preventing major disputes in the future.    
I've replied there.   

Image copyright problem with Image:Exceptional newcomer2 (no border).jpg
Thanks for uploading Image:Exceptional newcomer2 (no border).jpg. The image has been identified as not specifying the copyright status of the image, which is required by Wikipedia's policy on images. If you don't indicate the copyright status of the image on the image's description page, using an appropriate copyright tag, it may be deleted some time in the next seven days. If you have uploaded other images, please verify that you have provided copyright information for them as well.

For more information on using images, see the following pages:
 Wikipedia:Image use policy
 Wikipedia:Image copyright tags

This is an automated notice by . For assistance on the image use policy, see Wikipedia:Media copyright questions. NOTE: once you correct this, please remove the tag from the image's page.   

 Nice 
Nice work on the awards page overhaul. You should consider joining Wikipedia:WikiProject Awards. Best   

I might do that - I've a couple of suggestions.   

Zulu_Nation_(disambiguation)
Is this page necessary due to Zulu_(disambiguation)?  I prodded it but am welcome to suggestions.   

'Zulu nation' as you probably know, is actually a recognised term (and used in the Zulu article a lot)- I thought of making a short intro on it, but didn't have the time. The other alternative is to point 'Zulu nation' to Zulu - it shouln't go to the hip hip group, though. We certainly needed the link (with the small-cap n, the large cap N previously went to the group). I'm busy now, so I'll leave it up to you.   

The Core Contest

I think Danny is about to announce the winners of the Core Contest, which I think you'll find has been concluded to everyone's satisfaction, including yours. )  Please be so good as to add your new awards to the user pages of the winners.  Thanks, Matt!  If you have any questions, please feel free to e-mail me.    

 Re: Edits-only solution for Ireland only 

I'm not sure where to insert it now the discussion has matured, but I loved your rant/objections/gripe/points (not sure how to describe it!), and support you all the way. You bring to light exactly my sentiments and I support you. I'd love to action your proposal, but feel that any work I do to """"Irish"""" articles merely draws me into eon-long nonsensical debates, which take me away from doing what I love best - writing articles. 

Again, you make great points, and I support you.  |  Talk   

I'd also like to state that I think you are writing good messages and making good points on the debate. I'm loathe to get any further involved, myself, but I am glad I made the point that re-ignited the """"Ireland as disambiguation page"""" point, tieing it in more firmly with what I understand is wikipedia policy on this issue in the hope that arguments based on motivations, fears, etc would not be so dominant (though it sadly seems to have failed on this matter.) [[User:ddstretch| ->"," none"
"you edit 

YOU EDIT IS VANDAL! STOP OR DIE! ->"," threat"
"WTF 

wat the fuck u think your doing, deleting my work, i have had just about enough of ppl like you now FUCK OFF!!!! ->"," insult"
"Nerd 
You are such a fucking nerd.  Take a look at yourself in the mirror. ->"," toxic"
"""
NO, you are incorrect. Xenophobia can be a clinical phobia, and is misused as a political epithet. It is not a conscious decision someone makes, it is driven by instinctive motivaition: please READ A BOOK! (better still, do a degree!) Don't parrot things you don't understand. Phobias are by definition irrational, as the article states by saying """"...like all phobias"""" - come on, read! follow the links! then think!"" ->"," toxic"
"IN THE ASS BITCH FUCKING COCK SUCKER! ->"," identity"
"gay fucking cockface shit ass cunt ->"," identity"
"This user would love to suck the penis of Jesus and to lick filthy balls son of a whore. ->"," identity"
"hi were bp [PARODIE] 

hello were gonna kill the gulf and yo and spill oil on your body and light ya up and shoot ya dead bodie cause were evil ->"," threat"
"I'll kill you!!!! (*GUNSHOTS*) There, You are dead. 2602:252:D2D:4170:DEA:9F7B:2752:4C92 ->"," threat"
"Leave my page alone you neurotic pest. I sell oil paintings for up to $3500 and I invented father's rights with my 1993 book Surviving the Feminizatoin of America. Mine your own business. Rich Zubaty ->"," toxic"
"dog u mother fcuken ass hole  i dont fcken care that i deletesd ur fcken pages ur mothe fcken ass hole u bitch u like my balls anyday and where and  i fcken ur sister and  u were born in a pile of shit u mother fcken bitch go get shit for dinner..sorry you idiot back off or suck my dick bastard. ->"," severe"
"Fuck off. I will continue to edit small things as I see them. You fucking wikinazis are why Wikipedia's editing community is falling to pieces. 
60.226.138.94 ->"," severe"
"why you are a bastard 

I hope your dog dies. ->"," threat"
"FUCK THE POOR BRITAIN IS SHITTTTTTTTTTTTTTTTTTTTTTTTTTTTT ->"," severe"
"== fuck you 
I hope you die motherfucker ->"," severe"
"hello again
I am BACK WITH A VENGENCE!!!!!! alright, so will block me, thats expected, so with that note on mind, i begin my rant. 
My Rant
FUCK is an interesting word, and can be used in many ways. such as, FUCK YOU, Go Fuck yourself (no one else will) I FUCKED your mother, also who the FUCK do you think you are? do you think you are god? is that it? were you molested by your teacher as a child? i dont understand what would cause you to think your so fucking great. i raped all of your family members, and siblings, cousins, aunts and uncles. i also raped your mother (she liked it) and so you are nothing. ABSOLUTLY nothing, and you should terminate your existance A.S.A.P. (As Soon As Possible just letting you know, because you are FUCKING RETARTED!!!!!!!!!!!!!!!!!!!!) FUCK YOU, and go die. that is all.
ps
you fudge packing ass-monger, i have one last thing to say to you. DIE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!fucker i hope you rot in hell you son of a skank. ->"," severe"
"Get fucked you terminally dumb fuckstain. I hope you fall under one of his lorries. Twat ->"," toxic"
"AND TO THE PARTY WHO FUCKS ME, FUCK U! I'LL BE BACK HERE IN FIVE MINUTES AND HOPEFULLY YANDMAN'S HEAD WHEEL BE CLEANING MY ASS AND HIS BODY WILL BE FAR AWAY FROM HIS HEAD ->"," threat"
"Get a life you animal fucker
Shut up you fucking nigger. Fuck off and shit your pants full of all the shit you can fill them with. 144.131.176.126 ->"," identity"
"Negroid 

Hey nigger lover why did you revert my contribution to the article negroid. I have restored it. Lay off the nigger cock you faggot.

Thanks68.118.202.49  

Bitch, stop vandalizing this talk page.68.118.202.49 ->"," obscene"
"hey 

hey faggot, are you dead? or are you watching your mom getting raped by islamic terrorists? ->"," identity"
"Haha!! Prince Al-Waleed bin Talal is ashknazi jew LOL!! jews are assholes!! ->"," obscene"
"Stop Changing my work 

Listen you pimple faced punks. Vamp has been confirmed to return in MGS4. Stop changing my work. ->"," toxic"
"is a 'stream f conscious-ness mess' against your rules - just leave me alone, don't read my talk page - theres no need, I don't see its any of your business, it is in no way affecting the encyclopedia in a negative way,  - you  are over admin-ing anyhow,  - 
its really unpleasant Wikipedia these days ->"," none"
"""

 The Commonwealth of Australia 
I have noticed several times that after I have edited the introduction from """"Australia"""" to """"the Commonwealth of Australia"""" it has been reverted back to just Australia. I do not understand why other countries are being named with their official names but Australia is downgraded from its official name? If in the title it stated something like """"the United States"""" I'm sure someone would edit it to put in America at the end. So why is the same not applied for Australia? Double standards?"" ->"," none"
"User Phanatical is a scum bag dogshit liar. chinky commie agent, rot in hell. ->"," obscene"
"WHAT A FUCKING RIOT!!!  I AM LAUGHING MY SWEET WHITE ASS OFF!!!! ->"," severe"
"On the other hand, for anyone who hadn't heard of the book prior to the movie's release, the title is perfect for describing a movie with lots of shooting, gore, sex, and no resemblance of plot. ->"," none"
"""
 Oh this is such fucking bullcrap. Now someone made a sneak edit changing the referenced material (600 soldiers) to the unreferenced """"at least 600"""" without ever replying here. God. Pathetic, wrong and sad. 78.68.210.173  "" ->"," insult"
"Stop being a WP:Dick. ->"," toxic"
"This page sounds like it was written by an idiot! ->"," obscene"
"Get your fat white ass out of the suburbs and join the real world. ->"," insult"
"You better pray for your account because I am going to have you banned indefinitely you sick bastard ->"," insult"
"GO AND TAKE A BIG LONG SHIT 

OH YES TAKE A BIG LONG SHIT. 89.168.195.56 ->"," toxic"
"dickhead dickhead, your a dickhead, you can take me to bed and show me your dickhead. dickhead dickhead, your a dickhead, so go and fuck yourself tonight ->"," obscene"
"""

 I TAKE OFFENSE! 

I take great offense that some pompous, sanctimonious twit thinks that no one should be allowed to express appreciation for women like the Gibson Girl as the """"fine-featured"""" and """"achingly beautiful"""" creatures that they are.  

I don't know what kind of totalitarian feminazi dystopian agenda you are trying to foist on people, but don't do it here!  This encyclopedia is based on free speech and a free exchange of information, not bogus political correctness and schoolmarmish thought-policing.  I'll take a Gibson Girl over you anyday!"" ->"," toxic"
"""

 you're so fucking ugly 

are you walter's bitch? he's another fat ugly loser prick on this site. I can't believe how retarded you look faggot. guess what? I found out where you live. go ahead and block this ip. I won't be on it anymore. anyone in the future who uses it won't be me. you are wrong and can't handle the truth. you go around undoing good work but never contributing good work. just bad reverts and edits. I've followed a lot of your edits and errors and see that you're so inconsistent and incorrect. no one will call you out cus you're a dick sucker and an ass licker on here. you think you're all that but you're dirt which is why you have to compensate with being a bully on here! you're not consistent or logical. I've found dozens of articles that have listings of people from shows to parades to other activities and events considered """"significant"""". you go around following articles some editors contribute on and put notices at the top and remove their work, even after it's been there for years all cus you're a sore pussy loser with no dick. you suck off other men to make yourself feel better about how much of a loser you are. you think you're important going and undoing work. I have a zillion ips and i'm an admin. I could take you down but i'll do that off this site. you're gonna wish you never fucked with me and my crew on here. you're a meaningless worthless dick head. you are a piece of shit. fuck off and die, I won't read your stupid notices or replies. fuck off, I could care less. I won't be at this location anymore. matter of fact, the location that shows up on ip search is just a """"bounce off"""" location to throw people like you off. not even in the city or state but it is """"registered"""" there. haha, joke is on you hong kong ding dong! i'm already using other ips to edit articles you don't watch or track dip shit! good luck, I could care less about the articles I've worked on and you undid cus you have no life. p.s. do what's best for Wikipedia like you claim to do, not get jealous and mad so in an effort to get revenge you go and undo work out of spite. shit has already been confirmed so you can either do the work or stop undoing edits and acting like a know-it-all asshole! you're unproductive and annoying. you're a psycho with serious mental issues and need to be put away! you don't have to like the content, doesn't give you a right to undo it cus just cus you're a prick and delete-ist! ever heard of a talk page for dispute resolution and consensus? think that rules doesn't apply to you kiss ass? want me to end your wanna-be career on here? go away and stop your bullshit or else! and yeah, that's a threat. so block this ip for awhile. won't affect me one bit white trash weird al looking nigger! and who cares if someone WAS a fan or not. 90% of people who edit an article are """"fans"""" or experts about the topic. grow up and go jerk yourself off, rub the cum in your long curly gross greasy looking hair and call it a life! do you own a gun? use it on your face! lmfao"" ->"," threat"
"Hey
how ya doin fuck face? did u think you were safe? huh? did ya? SKANK? you are a ho. you need death, and nothing else. i really dislike your existance. i think that you are a piece of shit. i will come  to your home, and kill you, and any other man-lover you have hiding there. you should perish you skank. you are more worthless than the dog shit in the backyard. if you think that you can come get me, as GOD as my witness i will conduct a crusade against your kind. WHY THE FUCK would you change the lci food fight article? i really hope you die in a hole somewhere. i will continue to come back, until you fucking ROT IN HELL! you are no longer needed on earth, or wikipedia, so make like the homosexual you are, and anal fuck yourself until you drown in a cesspool of your own bodily fluids. i really hope you perish soon. end your life any way you want, here are some starting ideas: Hang yourself, shoot yourself in  the head with a shotgun, whatever you wish! hell, even light yourself on fire AND hang yourself. just dont make TOO much of a mess, as no one will want to spend that much time on a WORTHLESS PIECE OF SHIT like you. go die. commit suicide. terminate your existance. all of the above. that would make me happy. i hope to GOD that you end your life by tomorrow, or even do it in the sunrise. when i get blocked for this, i will KNOW that you read it. thank you, you are no longer needed-
-thank you, management.(god) ->"," obscene"
"where are all these rules you keep coming up with where i have to put things where you say i have to........anoymous....signed by me..... ->"," none"
"Ban this Jerk
Someone needs to ban this jerk for deleting articles before we can even get them off the ground. ->"," toxic"
"Up yours you fucking fruit. InShaneee what kind of name is that anyway, for a cat? ->"," obscene"
"I am disappointed that you have not moved on this. He is now racing around articles I have made or contributed to. Is this what Wikipedia is about? People like him? What are administrators about if they cannot control this sort of individual? ->"," none"
"Mmmm... yes... a pint of palestinian blood would be a fine dessert right now. -  talk/email ->"," identity"
"One thing I hate is people who talk about other people behind their backs because they are too gutless to confront them in person. You go bad mouthing people like me and Slim Virgin and others off behind our backs. Really honorable behaviour. You are a weak person. ->"," toxic"
"I will fucking cut your heart out. I will set you on fire motherfucker. ->"," threat"
"Beeblebrox, you f*cking prost!tute 

Beeblebrox, you blocked me. You spilled water over all the countless hours I spent editing Wikipedia, the tireless edits I made. My eyes and sleep became bad.

YOU F*CKING PROST!TUTE, ROT IN HELL !!! ->"," insult"
"You can suck my dick, you fat fucking loser. Get a life, asshole! ->"," severe"
"Hmmm... I notice on looking at this page's history, that you fucking idiot Wikifools keep editing out anything that might make me look reasonable. You want to make me look bad, so you edit out actual apologies and shit. You merely prove my point. Jackboot Nazi Idiots are still Idiots, no matter how much they try to hide their stupidity. Kindly take flight, and aim your copulatory efforts at a rotating pastry, assholes. In other words, fuck you, and the horse you rode in on.

68.172.52.21 ->"," obscene"
"soulja bitch is whack, fuck da dirty south ->"," severe"
"I'm gonna beat you to a bloody pulp then shoot you, execution-style. 

I'm gonna beat you to a bloody pulp then shoot you, execution-style. ->"," threat"
"First I will suck your ass!!!!!!!!!1 ->"," insult"
"I hate everyone 

Especially you.

LOLS ->"," toxic"
"RE: Moving Dragon Slayer to Dragon Slayer series 
Fuck Your Mother! You is Son of a Bitch! ->"," toxic"
"yeh well ban me fukkers fuck you morons ->"," insult"
"I think he is a gay fag!!! ->"," toxic"
"""ANOUNCEMENT
    I AM MAD AT THE PEOPLE WHO BAN ME FOR THINGS I DON""""T DO SO ALL MEXICANS AND 

BLACK PEOPLE ARE SHIT HEADS AND IM IN THE KKK FUCK HEADS!!!!!!1"" ->"," severe"
"DO SO ALL MEXICANS AND 

BLACK PEOPLE ARE SHIT HEADS AND IM IN THE KKK FUCK HEADS!!!!!!1 ->"," toxic"
"get bent you faggot ->"," obscene"
"Important Note
I would also like to point out that I hate you aswell and  hope you die. Best regards, ->"," toxic"
"""

 revived / remains 

So:
 What Toptchyan wrote is that after Malkhasyants (1940, and Sarkissian's article is from March 1940, so just before it) and untill Toumanoff (1961), thus """"second half of the 20th century"""", there has been no serious scholarship opposing the 5th c. dating. You (Grandmaster) mentioned earlier Joseph P. Smith (1952) but (i) his book has an extremely thin link with the debate on the dating, (ii) he's not specialised in this area, and most of all (iii) he didn't take side in his very few lines on Moses. Topchyan not being contradicted on this, it is clear that there's a break of 21 years between Malkhasyants' book and the next serious scholar contesting the 5th c. dating (according to Topchyan, """"la publication de son livre régla la question pour environ deux décennies"""" or in English """"the publishing of his book settled the issue for approximately two decades""""). Therefore, during these two decades, the issue didn't """"remain"""" disputed (i.e. no serious scholarship published), and Toumanoff' s publishing """"revived"""" the critical points in 1961.
 Where you perhaps have a point (with """"remains"""") is that Toumanoff's main point, the """"Bagratids argument"""", had already been raised before by Adontz and Manandian. It had been addressed by Malkhasyants though (i.e. Moses wrote that Bagratids were tagadir ev aspet, two titles from the Arsacid period which were forgotten in latter centuries).
 I think the article should represent both the historiographical break and the historiographical link, and I think the current sentence do so (""""revived... continue to maintain""""). I tried to reword it, but in fact, the more I think about the issue and the more I read the sentence, the less I see the problem with it.
  
Oh, btw, no need to attack Toptchyan: Mahé for instance gives absolutely no reference between 1940 and 1961.   

Did you actually read Sarkissian's article? He quotes authors from 1920s and 1930s, and says: 

Such was, and to a large extent still is, the traditional view about the life and the work of Moses of Khoren which was accepted by the Armenians. It is this traditional and unquestioned view that has been subjected to much severe criticism during the course of the past hundred years. The object of this paper is to summarize and evaluate such criticism.

So according to Sarkissian, during the 100 years before 1940 the 5th century dating was constantly in dispute. Thus, Topchyan contradicts other sources. Criticism was not revived, it always existed. If you insist on revived claim, it must be presented only as Topchyan's personal opinion, and not as a fact, because it is not true. master "" ->"," none"
"hey punk dont be deleting my stuff, you know nothing bout the harly drags so stay out of my shit you stupid nerd, punk fag female thats all u, bitch ->"," identity"
"The fact of my very limited number of edits to this article proves you a liar. ->"," toxic"
"WTF 

wat the fuck u think your doing, deleting my work, i have had just about enough of ppl like you now FUCK OFF!!!! ->"," severe"
"Once again.... I'm SO glad that Wikipedia is not biased or filled with retarded children. ->"," insult"
"picking on a 10 year old!!! soooo sad 

Just shut up okay?Im only 10 years old. I just wanted to have a little fun, captain buzz kill. I guess you never had a life when you were young. that was probably like, 100000000000000000 years old. LOL!!!! 75.27.114.194  None yo beez nas ->"," insult"
